,mean,1std,-1std,2std,-2std,month
2000-03-08,0.0026901141776,0.00289669152341,0.00248616749261,0.00310703429453,0.00231201425225,3
2000-03-09,0.00269254687375,0.00289807190266,0.00248758022073,0.00310567446491,0.00231676098051,3
2000-03-10,0.00269412092421,0.00290221837971,0.00248829080284,0.00310850017009,0.002312457661,3
2000-03-11,0.00269698189289,0.00290400891427,0.00248976910642,0.00310834060187,0.00231535411872,3
2000-03-12,0.00269751167315,0.00290277294422,0.00249062495852,0.00310856433198,0.00231841379212,3
2000-03-13,0.00269436030311,0.00290105436117,0.00248886479039,0.00310199822121,0.00231721569923,3
2000-03-14,0.00269563472619,0.00290122423669,0.00248937324572,0.00310366538388,0.00232138310492,3
2000-03-15,0.00269989571991,0.00290529694324,0.00249333354268,0.00310913989482,0.00232530137853,3
2000-03-16,0.00270158448746,0.0029037815305,0.00249647373311,0.00310821453905,0.0023238728845,3
2000-03-17,0.00270347222569,0.0029084893467,0.00249970043991,0.00311112487758,0.00233152801031,3
2000-03-18,0.00270738133851,0.00291317959674,0.00250107194948,0.00311508613452,0.00233504352398,3
2000-03-19,0.00270971007452,0.00291657252552,0.00250275826138,0.00311327913508,0.00233483449279,3
2000-03-20,0.0027100246506,0.00291800885443,0.00250615174253,0.00311658087035,0.00233351695921,3
2000-03-21,0.00271208374653,0.00291886534533,0.0025058166755,0.00311769753481,0.00233568990506,3
2000-03-22,0.00271505792934,0.00292248471465,0.00250818902511,0.00312031909106,0.00233893856021,3
2000-03-23,0.00271643908279,0.00292640813962,0.00250837341649,0.00311646537396,0.00233991390159,3
2000-03-24,0.00271756527877,0.00292462626954,0.00251048275954,0.00312319878005,0.00233724007566,3
2000-03-25,0.00271926871518,0.00292564501579,0.00251132918056,0.00312610741257,0.0023374407526,3
2000-03-26,0.00271795155797,0.00292656541982,0.00251017346789,0.00312112906926,0.0023365715279,3
2000-03-27,0.00271409071567,0.00292364170388,0.00250666913433,0.0031165235851,0.00232946266358,3
2000-03-28,0.00271186112383,0.00292027669358,0.00250483831511,0.00311755048702,0.00232731928615,3
2000-03-29,0.00271229449626,0.00291999891744,0.00250446993145,0.0031193318882,0.00233300447814,3
2000-03-30,0.00271233963445,0.00292078316981,0.00250218627377,0.00312357550308,0.00233045754271,3
2000-03-31,0.00270990079324,0.00291656344978,0.00250454292134,0.00312512599058,0.00232603600572,3
2000-04-01,0.00270725371716,0.00291190995129,0.00250252241106,0.00311510489811,0.00232364000288,4
2000-04-02,0.00270611962767,0.00291160300084,0.00250030780758,0.00311895345299,0.00232059208675,4
2000-04-03,0.00270348411705,0.00290868303135,0.00249793873824,0.00311435596216,0.00232343712025,4
2000-04-04,0.00270170406318,0.00290714971246,0.00249609142518,0.00310753134697,0.00232318163843,4
2000-04-05,0.0027018701329,0.00290618808191,0.00249571561002,0.00310737039221,0.00232689340911,4
2000-04-06,0.00270326223978,0.00290753555127,0.00249783536143,0.00310593920663,0.00232871881637,4
2000-04-07,0.00270280610811,0.00290781659116,0.00249496831371,0.00310739616627,0.002328893025,4
2000-04-08,0.00270182672259,0.00290575091679,0.00249693526066,0.00310189256494,0.00232484156993,4
2000-04-09,0.00270096322575,0.00290352383709,0.00249600730756,0.00309684256669,0.00232634909528,4
2000-04-10,0.00270013240954,0.00290296929177,0.00249375115568,0.00309886920326,0.00232214919274,4
2000-04-11,0.00270022915074,0.00290436217057,0.00249435793931,0.00310680620338,0.00232577870144,4
2000-04-12,0.00270180865589,0.00290540277511,0.0024973214255,0.00310853026871,0.00232483483535,4
2000-04-13,0.00270095902123,0.00290513644944,0.00249599629631,0.0031068810582,0.00231835960681,4
2000-04-14,0.00269866309805,0.00290295571602,0.00249309989036,0.00310106637242,0.00231727998364,4
2000-04-15,0.00269833620008,0.00290292248621,0.00249227200716,0.00309964341473,0.00231650734389,4
2000-04-16,0.00269787697031,0.00290254304106,0.00249259246294,0.00309637109894,0.00231508940281,4
2000-04-17,0.00269537436569,0.00289942213182,0.00249169912181,0.00309827203438,0.00231790713504,4
2000-04-18,0.00269375873764,0.00290212854251,0.00248932279739,0.00309433249288,0.00231726992484,4
2000-04-19,0.00269476464741,0.00290209433291,0.00248865367691,0.00309226946504,0.00231465232862,4
2000-04-20,0.00269546528997,0.00290020411955,0.00249084395982,0.00309475707359,0.00231584609488,4
2000-04-21,0.00269688674659,0.00290244190752,0.00249201040154,0.00310025663531,0.00231856953233,4
2000-04-22,0.00269822660368,0.00290354602929,0.00249033869418,0.00310321143513,0.00232362657326,4
2000-04-23,0.0026990925779,0.00290227723456,0.00249331273418,0.00310169016777,0.00232510721151,4
2000-04-24,0.00269906385254,0.00290194519771,0.00249297340736,0.00310504207005,0.00232867060452,4
2000-04-25,0.00269985613695,0.00290443421368,0.00249401502519,0.00310514428556,0.0023269957448,4
2000-04-26,0.00270053253448,0.00290525569196,0.00249580389215,0.00310308801194,0.00232431269143,4
2000-04-27,0.00270195747581,0.00290896555891,0.00249527350435,0.00310373857595,0.0023270277934,4
